TRAINING,frame_40991.jpg,x2,0.34151,0.03585,,,0.5283,0.5283,,
TRAINING,frame_5626.jpg,x2,0.50377,0.27547,,,0.58868,0.58868,,
TRAINING,frame_35151.jpg,x2,0.00943,0.54151,,,0.27547,0.27547,,
TRAINING,frame_12509.jpg,x2,0.36604,0.60377,,,0.47925,0.47925,,
TRAINING,frame_65375.jpg,x2,0.41887,0.24717,,,0.84528,0.84528,,
TRAINING,frame_25684.jpg,x2,0.23962,0.74528,,,0.45283,0.45283,,
TRAINING,frame_41847.jpg,x2,0.33208,0.08491,,,0.55094,0.55094,,
TRAINING,frame_5709.jpg,x2,0.33019,0.12453,,,0.4434,0.4434,,
TRAINING,frame_32945.jpg,x2,0.35094,0.74151,,,0.50189,0.50189,,
TRAINING,frame_5647.jpg,x2,0.3434,0.33208,,,0.46038,0.46038,,
TRAINING,frame_58962.jpg,x2,0.6,0.76038,,,0.73019,0.73019,,
TRAINING,frame_63026.jpg,x2,0.03774,0.08868,,,0.13208,0.13208,,
TRAINING,frame_48469.jpg,x2,0.56226,0.2566,,,0.75283,0.75283,,
TRAINING,frame_61310.jpg,x2,0.13208,0.53585,,,0.26792,0.26792,,
TRAINING,frame_56375.jpg,x2,0.31509,0.76038,,,0.43774,0.43774,,
TRAINING,frame_6724.jpg,x2,0.35094,0.60755,,,0.71132,0.71132,,
TRAINING,frame_48725.jpg,x2,0.55283,0.49434,,,0.74906,0.74906,,
TRAINING,frame_3278.jpg,x2,0.49623,0.08868,,,0.78113,0.78113,,
TRAINING,frame_6932.jpg,x2,0.53208,0.78491,,,0.6717,0.6717,,
TRAINING,frame_28313.jpg,x2,0.4717,0.38868,,,0.59245,0.59245,,
TRAINING,frame_20224.jpg,x2,0.08113,0.10377,,,0.21698,0.21698,,
TRAINING,frame_55173.jpg,x2,0.69623,0.0283,,,0.80943,0.80943,,
TRAINING,frame_65490.jpg,x2,0.07358,0.13962,,,0.23774,0.23774,,
TRAINING,frame_32167.jpg,x2,0.16226,0.0283,,,0.35283,0.35283,,
TRAINING,frame_16935.jpg,x2,0.59811,0.59811,,,0.7717,0.7717,,
TRAINING,frame_20934.jpg,x2,0.49057,0.64717,,,0.55094,0.55094,,
TRAINING,frame_40158.jpg,x2,0.29811,0.08113,,,0.49434,0.49434,,
TRAINING,frame_41103.jpg,x2,0.00755,0.26792,,,0.12264,0.12264,,
TRAINING,frame_17860.jpg,x2,0.2434,0.68302,,,0.56415,0.56415,,
TRAINING,frame_3321.jpg,x2,0.00377,0.54906,,,0.20566,0.20566,,
TRAINING,frame_37559.jpg,x2,0.36792,0.17925,,,0.85472,0.85472,,
TRAINING,frame_16864.jpg,x2,0.02264,0.2434,,,0.66604,0.66604,,
TRAINING,frame_9267.jpg,x2,0.58491,0.13585,,,0.97736,0.97736,,
TRAINING,frame_44866.jpg,x2,0.58113,0.33585,,,0.91132,0.91132,,
TRAINING,frame_49251.jpg,x2,0.71887,0.26981,,,0.88113,0.88113,,
TRAINING,frame_16218.jpg,x2,0.66226,0.45094,,,0.79245,0.79245,,
TRAINING,frame_1529.jpg,x2,0.35849,0.78113,,,0.46981,0.46981,,
TRAINING,frame_49331.jpg,x2,0.30755,0.67358,,,0.43019,0.43019,,
TRAINING,frame_65552.jpg,x2,0.06415,0.79623,,,0.32075,0.32075,,
TRAINING,frame_24311.jpg,x2,0.49434,0.0717,,,0.64151,0.64151,,
TRAINING,frame_20006.jpg,x2,0.39057,0.33396,,,0.96792,0.96792,,
TRAINING,frame_19842.jpg,x2,0.19434,0.45283,,,0.59623,0.59623,,
TRAINING,frame_42026.jpg,x2,0.82642,0.27358,,,0.96226,0.96226,,
TRAINING,frame_11044.jpg,x2,0.29057,0.73962,,,0.3434,0.3434,,
TRAINING,frame_14286.jpg,x2,0.08491,0.75094,,,0.49434,0.49434,,
TRAINING,frame_7126.jpg,x2,0.10377,0.72264,,,0.3566,0.3566,,
TRAINING,frame_61903.jpg,x2,0.1434,0.12642,,,0.56415,0.56415,,
TRAINING,frame_21123.jpg,x2,0.11321,0.45094,,,0.33396,0.33396,,
TRAINING,frame_64671.jpg,x2,0.15472,0.47358,,,0.32453,0.32453,,
TRAINING,frame_37883.jpg,x2,0.81321,0.62642,,,0.9283,0.9283,,
TRAINING,frame_27199.jpg,x2,0.07358,0.39623,,,0.20566,0.20566,,
TRAINING,frame_42033.jpg,x2,0.33208,0.06792,,,0.41321,0.41321,,
TRAINING,frame_26162.jpg,x2,0.22642,0.41698,,,0.4717,0.4717,,
TRAINING,frame_65737.jpg,x2,0.18868,0.00755,,,0.36604,0.36604,,
TRAINING,frame_28185.jpg,x2,0.56604,0.90755,,,0.65472,0.65472,,
